All States,Good Air Quality Days,Moderate Air Quality Days,Unhealthy Air Quality Days,2_Rank,Other Factors,Outcome Factor Rank (1st = Best),Cost Factor Rank (1st = Lowest),Access Factor Rank (1st = Best),2022 Overall Ranking,2022 overall score,2023 Overall Ranking,2023 overall score,Overall Current Ranking(Highter is the best)
Hawaii,99.4,0.6,0.0,48.0,33.7,32.0,45.0,50.0,32.0,15.4,41.0,37.7,48.0
Texas,93.2,6.3,0.5,26.0,61.2,20.0,8.0,49.0,25.0,14.7,30.0,34.6,26.0
Montana,92.3,6.4,1.3,44.0,47.2,44.0,1.0,48.0,20.0,14.3,7.0,29.0,44.0
Arizona,91.5,8.4,0.2,28.0,60.5,22.0,12.0,47.0,32.0,15.4,12.0,30.6,28.0
Indiana,91.3,8.5,0.2,34.0,55.5,27.0,16.0,46.0,16.0,14.0,14.0,31.3,34.0
Iowa,91.0,8.5,0.5,41.0,52.7,31.0,22.0,45.0,23.0,14.6,18.0,31.9,41.0
Kentucky,89.8,10.2,0.0,45.0,45.6,40.0,13.0,44.0,36.0,15.9,14.0,31.3,45.0
Nevada,88.7,10.6,0.6,24.0,65.8,19.0,20.0,43.0,44.0,17.8,23.0,24.7,24.0
Florida,88.7,9.7,1.6,12.0,80.6,3.0,30.0,42.0,11.0,13.2,16.0,31.6,12.0
Tennessee,87.9,11.9,0.2,39.0,52.9,29.0,32.0,41.0,16.0,14.0,10.0,30.4,39.0
Pennsylvania,87.1,12.5,0.5,31.0,58.0,23.0,29.0,40.0,8.0,13.0,47.0,39.9,31.0
Missouri,86.8,12.6,0.5,9.0,81.0,11.0,4.0,39.0,37.0,16.2,29.0,34.4,9.0
West Virginia,86.7,12.4,0.8,10.0,80.8,9.0,6.0,38.0,13.0,13.6,13.0,30.9,10.0
"District Of Columbia
[2]",86.7,13.2,0.0,3.0,91.6,7.0,2.0,37.0,25.0,14.7,4.0,27.6,3.0
Minnesota,86.3,13.7,0.1,35.0,54.8,38.0,15.0,36.0,27.0,14.8,17.0,31.8,35.0
Illinois,86.1,13.4,0.4,19.0,73.1,13.0,27.0,35.0,47.0,18.4,23.0,33.9,19.0
Mississippi,85.8,14.0,0.2,27.0,61.1,24.0,33.0,34.0,46.0,18.0,28.0,34.3,27.0
Alaska,85.5,14.5,0.0,49.0,33.4,49.0,14.0,33.0,21.0,14.4,36.0,36.1,49.0
Arkansas,85.2,14.6,0.2,42.0,49.9,37.0,38.0,32.0,1.0,10.7,31.0,35.0,42.0
Virginia,84.9,15.1,0.1,1.0,99.0,1.0,18.0,31.0,16.0,14.7,49.0,40.6,1.0
North Carolina,84.2,15.1,0.7,30.0,58.5,28.0,40.0,29.0,4.0,12.6,6.0,28.8,30.0
New York,83.4,14.3,2.3,38.0,53.0,43.0,17.0,28.0,10.0,13.1,46.0,39.4,38.0
Oklahoma,83.4,15.4,1.2,15.0,78.8,18.0,10.0,27.0,38.0,16.3,22.0,33.5,15.0
Massachusetts,83.0,16.8,0.2,17.0,75.5,8.0,42.0,26.0,41.0,17.1,9.0,30.1,17.0
South Dakota,83.0,14.1,2.9,16.0,75.9,6.0,46.0,25.0,16.0,14.0,39.0,36.4,16.0
Louisiana,82.3,16.9,0.8,40.0,52.7,36.0,43.0,24.0,30.0,15.2,27.0,34.2,40.0
Kansas,82.1,17.5,0.4,32.0,56.1,42.0,11.0,23.0,7.0,12.9,3.0,27.4,32.0
"Rhode Island
[2]",82.1,16.6,1.3,36.0,54.6,39.0,28.0,22.0,30.0,15.2,36.0,36.1,36.0
South Carolina,80.9,18.8,0.3,6.0,82.9,21.0,3.0,20.0,12.0,13.3,38.0,36.3,6.0
Connecticut,80.8,18.3,0.9,22.0,71.9,5.0,48.0,18.0,34.0,15.5,34.0,36.0,22.0
Maryland,80.8,15.9,3.3,18.0,75.5,14.0,37.0,17.0,14.0,13.8,23.0,33.9,18.0
California,80.3,19.0,0.7,21.0,72.6,34.0,9.0,15.0,19.0,14.2,1.0,25.0,21.0
Ohio,79.8,19.3,0.9,46.0,44.7,48.0,26.0,13.0,23.0,14.6,26.0,34.1,46.0
Utah,79.2,20.2,0.6,7.0,82.1,12.0,35.0,12.0,16.0,14.2,32.0,35.2,7.0
Nebraska,78.9,19.3,1.7,43.0,48.9,46.0,24.0,10.0,35.0,15.6,23.0,33.9,43.0
Wisconsin,78.9,19.3,1.8,20.0,73.0,26.0,31.0,9.0,3.0,12.3,5.0,28.2,20.0
Idaho,78.3,21.3,0.4,4.0,91.1,10.0,23.0,8.0,40.0,16.7,8.0,29.1,4.0
"Vermont
[2]",75.0,24.3,0.8,8.0,81.3,4.0,47.0,5.0,45.0,17.9,44.0,38.7,8.0
Michigan,72.5,22.8,4.7,13.0,79.9,25.0,19.0,4.0,42.0,17.4,45.0,39.1,13.0
New Jersey,70.2,26.6,3.2,33.0,55.8,45.0,34.0,3.0,39.0,16.4,48.0,40.3,33.0
New Mexico,60.6,31.1,8.4,33.0,55.8,45.0,34.0,3.0,49.0,19.3,10.0,30.4,33.0
"Delaware
[2]",60.6,31.1,8.4,33.0,55.8,45.0,34.0,3.0,49.0,19.3,10.0,30.4,33.0
