All States,Value
,
Texas,12.3
Montana,27.0
Arizona,14.0
Indiana,
Iowa,13.3
Kentucky,
Nevada,15.1
Florida,9.3
Tennessee,10.5
Pennsylvania,8.2
Missouri,14.5
West Virginia,
"District Of Columbia
[2]",•
Minnesota,
Illinois,
Mississippi,10.6
Alaska,40.4
Arkansas,13.9
Virginia,12.4
Indiana,12.1
North Carolina,9.4
New York,
Oklahoma,
Massachusetts,
South Dakota,
Louisiana,
Kansas,19.3
"Rhode Island
[2]",
"District Of Columbia
[2]",
South Carolina,13.5
Iowa,
Connecticut,6.4
Maryland,
Arizona,
California,6.6
Louisiana,10.5
Ohio,
Utah,
Montana,
Nebraska,
Wisconsin,
Idaho,21.5
Pennsylvania,
Alaska,
"Vermont
[2]",
Michigan,11.4
New Jersey,5.3
Arkansas,
Utah,22.0
New Mexico,
"Delaware
[2]",•
South Carolina,
Nevada,
Maine,16.8
Tennessee,
United States,10.8
South Dakota,34.4
"Vermont
[2]",•
Illinois,8.6
Washington,
West Virginia,13.5
New Jersey,
New Hampshire,10.7
Michigan,
Alabama,
Kentucky,12.2
Connecticut,
Texas,
Colorado,
Minnesota,12.0
New Mexico,20.4
Ohio,11.3
Kansas,
Idaho,
Maine,
Oklahoma,17.8
"Delaware
[2]",
Wisconsin,11.2
Missouri,
United States,
Massachusetts,5.0
California,
Wyoming,
Virginia,
Hawaii,
"Rhode Island
[2]",•
Maryland,8.1
North Dakota,16.8
Georgia,
North Carolina,
Georgia,10.2
Florida,
New Hampshire,
Oregon,
Colorado,21.5
Wyoming,23.7
Alabama,11.5
Mississippi,
Washington,13.9
North Dakota,
New York,5.6
Oregon,16.0
Hawaii,10.5
Nebraska,12.1
