All States,Rank,Value
Ohio,41,37.7%
New Mexico,30,34.6%
Vermont,7,29.0%
New Hampshire,12,30.6%
Arizona,14,31.3%
Maine,18,31.9%
Nevada,14,31.3%
District Of Columbia,•,24.7%
Idaho,16,31.6%
Oregon,10,30.4%
Alabama,47,39.9%
Michigan,29,34.4%
Utah,13,30.9%
California,4,27.6%
Montana,17,31.8%
Delaware,23,33.9%
Maryland,28,34.3%
Texas,36,36.1%
Tennessee,31,35.0%
West Virginia,49,40.6%
Nebraska,33,35.9%
Washington,6,28.8%
Oklahoma,46,39.4%
Alaska,22,33.5%
Rhode Island,9,30.1%
Iowa,39,36.4%
Virginia,27,34.2%
Massachusetts,3,27.4%
South Carolina,36,36.1%
United States,•,33.9%
Indiana,38,36.3%
Colorado,2,25.1%
Kansas,34,36.0%
Wisconsin,23,33.9%
Missouri,40,37.2%
Hawaii,1,25.0%
Louisiana,43,38.6%
Illinois,26,34.1%
North Dakota,32,35.2%
North Carolina,34,36.0%
Georgia,23,33.9%
New Jersey,5,28.2%
New York,8,29.1%
South Dakota,42,38.4%
Pennsylvania,21,33.3%
Arkansas,44,38.7%
Mississippi,45,39.1%
Kentucky,48,40.3%
Wyoming,19,32.0%
Minnesota,20,32.4%
Connecticut,10,30.4%
